name	x	y	z	type	material
A1 (Cz)	0	0	88	ring	Ag/AgCl
A2	0	-17	86	ring	Ag/AgCl
A3 (CPz)	0	-34	81	ring	Ag/AgCl
A4	0	-50	72	ring	Ag/AgCl
A5 (approx: P1)	-24	-58	61	ring	Ag/AgCl
A6	-45	-45	61	ring	Ag/AgCl
A7 (approx: P3)	-52	-52	47	ring	Ag/AgCl
A8	-48	-66	31	ring	Ag/AgCl
A9	-51	-70	14	ring	Ag/AgCl
A10 (PO7)	-51	-71	-3	ring	Ag/AgCl
A11	-50	-69	-20	ring	Ag/AgCl
A12	-47	-64	-37	ring	Ag/AgCl
A13	-25	-75	-37	ring	Ag/AgCl
A14	-26	-81	-20	ring	Ag/AgCl
A15 (O1)	-27	-83	-3	ring	Ag/AgCl
A16	-27	-82	14	ring	Ag/AgCl
A17 (approx: PO3)	-25	-78	31	ring	Ag/AgCl
A18 (approx: CMS)	-28	-68	47	ring	Ag/AgCl
A19 (Pz)	0	-63	61	ring	Ag/AgCl
A20	0	-74	47	ring	Ag/AgCl
A21 (POz)	0	-82	31	ring	Ag/AgCl
A22	0	-86	14	ring	Ag/AgCl
A23 (Oz)	0	-87	-3	ring	Ag/AgCl
A24	0	-85	-20	ring	Ag/AgCl
A25 (Iz, Inion)	0	-79	-37	ring	Ag/AgCl
A26	25	-75	-37	ring	Ag/AgCl
A27	26	-81	-20	ring	Ag/AgCl
A28 (O2)	27	-83	-3	ring	Ag/AgCl
A29	27	-82	14	ring	Ag/AgCl
A30 (approx: PO4)	25	-78	31	ring	Ag/AgCl
A31 (approx: DRL)	28	-68	47	ring	Ag/AgCl
A32 (approx: P2)	24	-58	61	ring	Ag/AgCl
B1	17	-5	86	ring	Ag/AgCl
B2 (approx: CP2)	24	-24	81	ring	Ag/AgCl
B3	45	-45	61	ring	Ag/AgCl
B4 (approx: P4)	52	-52	47	ring	Ag/AgCl
B5	48	-66	31	ring	Ag/AgCl
B6	51	-70	14	ring	Ag/AgCl
B7 (PO8)	51	-71	-3	ring	Ag/AgCl
B8	50	-69	-20	ring	Ag/AgCl
B9	47	-64	-37	ring	Ag/AgCl
B10 (approx: P10)	69	-50	-20	ring	Ag/AgCl
B11 (P8)	71	-51	-3	ring	Ag/AgCl
B12	70	-51	14	ring	Ag/AgCl
B13 (approx: P6)	66	-48	31	ring	Ag/AgCl
B14 (TP8)	83	-27	-3	ring	Ag/AgCl
B15	82	-27	14	ring	Ag/AgCl
B16 (approx: CP6)	78	-25	31	ring	Ag/AgCl
B17	68	-28	47	ring	Ag/AgCl
B18 (approx: CP4)	58	-24	61	ring	Ag/AgCl
B19	43	-25	72	ring	Ag/AgCl
B20 (C2)	34	0	81	ring	Ag/AgCl
B21	50	0	72	ring	Ag/AgCl
B22 (C4)	63	0	61	ring	Ag/AgCl
B23	74	0	47	ring	Ag/AgCl
B24 (C6)	82	0	31	ring	Ag/AgCl
B25	86	0	14	ring	Ag/AgCl
B26 (T8)	87	0	-3	ring	Ag/AgCl
B27 (FT8)	83	27	-3	ring	Ag/AgCl
B28	82	27	14	ring	Ag/AgCl
B29 (approx: FC6)	78	25	31	ring	Ag/AgCl
B30	68	28	47	ring	Ag/AgCl
B31 (approx: FC4)	58	24	61	ring	Ag/AgCl
B32	43	25	72	ring	Ag/AgCl
C1	10	14	86	ring	Ag/AgCl
C2	24	24	81	ring	Ag/AgCl
C3	45	45	61	ring	Ag/AgCl
C4 (approx: F4)	52	52	47	ring	Ag/AgCl
C5 (approx: F6)	66	48	31	ring	Ag/AgCl
C6	70	51	14	ring	Ag/AgCl
C7 (F8)	71	51	-3	ring	Ag/AgCl
C8 (AF8)	51	71	-3	ring	Ag/AgCl
C9	51	70	14	ring	Ag/AgCl
C10	48	66	31	ring	Ag/AgCl
C11 (approx: FC2)	25	43	72	ring	Ag/AgCl
C12 (approx: F2)	24	58	61	ring	Ag/AgCl
C13	28	68	47	ring	Ag/AgCl
C14	25	78	31	ring	Ag/AgCl
C15 (approx: AF4)	27	82	14	ring	Ag/AgCl
C16 (Fp2)	27	83	-3	ring	Ag/AgCl
C17 (Fpz)	0	87	-3	ring	Ag/AgCl
C18	0	86	14	ring	Ag/AgCl
C19 (AFz)	0	82	31	ring	Ag/AgCl
C20	0	74	47	ring	Ag/AgCl
C21 (Fz)	0	63	61	ring	Ag/AgCl
C22	0	50	72	ring	Ag/AgCl
C23 (FCz)	0	34	81	ring	Ag/AgCl
C24 (approx: FC1)	-25	43	72	ring	Ag/AgCl
C25 (approx: F1)	-24	58	61	ring	Ag/AgCl
C26	-28	68	47	ring	Ag/AgCl
C27	-25	78	31	ring	Ag/AgCl
C28 (approx: AF3)	-27	82	14	ring	Ag/AgCl
C29 (Fp1)	-27	83	-3	ring	Ag/AgCl
C30 (AF7)	-51	71	-3	ring	Ag/AgCl
C31	-51	70	14	ring	Ag/AgCl
C32	-48	66	31	ring	Ag/AgCl
D1	-10	14	86	ring	Ag/AgCl
D2	-24	24	81	ring	Ag/AgCl
D3	-45	45	61	ring	Ag/AgCl
D4 (approx: F3)	-52	52	47	ring	Ag/AgCl
D5 (approx: F5)	-66	48	31	ring	Ag/AgCl
D6	-70	51	14	ring	Ag/AgCl
D7 (F7)	-71	51	-3	ring	Ag/AgCl
D8 (FT7)	-83	27	-3	ring	Ag/AgCl
D9	-82	27	14	ring	Ag/AgCl
D10 (approx: FC5)	-78	25	31	ring	Ag/AgCl
D11	-68	28	47	ring	Ag/AgCl
D12 (approx: FC3)	-58	24	61	ring	Ag/AgCl
D13	-43	25	72	ring	Ag/AgCl
D14 (C1)	-34	0	81	ring	Ag/AgCl
D15	-17	-5	86	ring	Ag/AgCl
D16 (approx: CP1)	-24	-24	81	ring	Ag/AgCl
D17	-43	-25	72	ring	Ag/AgCl
D18	-50	0	72	ring	Ag/AgCl
D19 (C3)	-63	0	61	ring	Ag/AgCl
D20	-74	0	47	ring	Ag/AgCl
D21 (C5)	-82	0	31	ring	Ag/AgCl
D22	-86	0	14	ring	Ag/AgCl
D23 (T7)	-87	0	-3	ring	Ag/AgCl
D24 (TP7)	-83	-27	-3	ring	Ag/AgCl
D25	-82	-27	14	ring	Ag/AgCl
D26 (approx CP5)	-78	-25	31	ring	Ag/AgCl
D27	-68	-28	47	ring	Ag/AgCl
D28 (approx: CP3)	-58	-24	61	ring	Ag/AgCl
D29 (approx: P5)	-66	-48	31	ring	Ag/AgCl
D30	-70	-51	14	ring	Ag/AgCl
D31 (P7)	-71	-51	-3	ring	Ag/AgCl
D32 (approx: P9)	-69	-50	-20	ring	Ag/AgCl