name	type	units	description	sampling_frequency
A1 (Cz)	EEG	uV	n/a	128
A2	EEG	uV	n/a	128
A3 (CPz)	EEG	uV	n/a	128
A4	EEG	uV	n/a	128
A5 (approx: P1)	EEG	uV	n/a	128
A6	EEG	uV	n/a	128
A7 (approx: P3)	EEG	uV	n/a	128
A8	EEG	uV	n/a	128
A9	EEG	uV	n/a	128
A10 (PO7)	EEG	uV	n/a	128
A11	EEG	uV	n/a	128
A12	EEG	uV	n/a	128
A13	EEG	uV	n/a	128
A14	EEG	uV	n/a	128
A15 (O1)	EEG	uV	n/a	128
A16	EEG	uV	n/a	128
A17 (approx: PO3)	EEG	uV	n/a	128
A18 (approx: CMS)	EEG	uV	n/a	128
A19 (Pz)	EEG	uV	n/a	128
A20	EEG	uV	n/a	128
A21 (POz)	EEG	uV	n/a	128
A22	EEG	uV	n/a	128
A23 (Oz)	EEG	uV	n/a	128
A24	EEG	uV	n/a	128
A25 (Iz, Inion)	EEG	uV	n/a	128
A26	EEG	uV	n/a	128
A27	EEG	uV	n/a	128
A28 (O2)	EEG	uV	n/a	128
A29	EEG	uV	n/a	128
A30 (approx: PO4)	EEG	uV	n/a	128
A31 (approx: DRL)	EEG	uV	n/a	128
A32 (approx: P2)	EEG	uV	n/a	128
B1	EEG	uV	n/a	128
B2 (approx: CP2)	EEG	uV	n/a	128
B3	EEG	uV	n/a	128
B4 (approx: P4)	EEG	uV	n/a	128
B5	EEG	uV	n/a	128
B6	EEG	uV	n/a	128
B7 (PO8)	EEG	uV	n/a	128
B8	EEG	uV	n/a	128
B9	EEG	uV	n/a	128
B10 (approx: P10)	EEG	uV	n/a	128
B11 (P8)	EEG	uV	n/a	128
B12	EEG	uV	n/a	128
B13 (approx: P6)	EEG	uV	n/a	128
B14 (TP8)	EEG	uV	n/a	128
B15	EEG	uV	n/a	128
B16 (approx: CP6)	EEG	uV	n/a	128
B17	EEG	uV	n/a	128
B18 (approx: CP4)	EEG	uV	n/a	128
B19	EEG	uV	n/a	128
B20 (C2)	EEG	uV	n/a	128
B21	EEG	uV	n/a	128
B22 (C4)	EEG	uV	n/a	128
B23	EEG	uV	n/a	128
B24 (C6)	EEG	uV	n/a	128
B25	EEG	uV	n/a	128
B26 (T8)	EEG	uV	n/a	128
B27 (FT8)	EEG	uV	n/a	128
B28	EEG	uV	n/a	128
B29 (approx: FC6)	EEG	uV	n/a	128
B30	EEG	uV	n/a	128
B31 (approx: FC4)	EEG	uV	n/a	128
B32	EEG	uV	n/a	128
C1	EEG	uV	n/a	128
C2	EEG	uV	n/a	128
C3	EEG	uV	n/a	128
C4 (approx: F4)	EEG	uV	n/a	128
C5 (approx: F6)	EEG	uV	n/a	128
C6	EEG	uV	n/a	128
C7 (F8)	EEG	uV	n/a	128
C8 (AF8)	EEG	uV	n/a	128
C9	EEG	uV	n/a	128
C10	EEG	uV	n/a	128
C11 (approx: FC2)	EEG	uV	n/a	128
C12 (approx: F2)	EEG	uV	n/a	128
C13	EEG	uV	n/a	128
C14	EEG	uV	n/a	128
C15 (approx: AF4)	EEG	uV	n/a	128
C16 (Fp2)	EEG	uV	n/a	128
C17 (Fpz)	EEG	uV	n/a	128
C18	EEG	uV	n/a	128
C19 (AFz)	EEG	uV	n/a	128
C20	EEG	uV	n/a	128
C21 (Fz)	EEG	uV	n/a	128
C22	EEG	uV	n/a	128
C23 (FCz)	EEG	uV	n/a	128
C24 (approx: FC1)	EEG	uV	n/a	128
C25 (approx: F1)	EEG	uV	n/a	128
C26	EEG	uV	n/a	128
C27	EEG	uV	n/a	128
C28 (approx: AF3)	EEG	uV	n/a	128
C29 (Fp1)	EEG	uV	n/a	128
C30 (AF7)	EEG	uV	n/a	128
C31	EEG	uV	n/a	128
C32	EEG	uV	n/a	128
D1	EEG	uV	n/a	128
D2	EEG	uV	n/a	128
D3	EEG	uV	n/a	128
D4 (approx: F3)	EEG	uV	n/a	128
D5 (approx: F5)	EEG	uV	n/a	128
D6	EEG	uV	n/a	128
D7 (F7)	EEG	uV	n/a	128
D8 (FT7)	EEG	uV	n/a	128
D9	EEG	uV	n/a	128
D10 (approx: FC5)	EEG	uV	n/a	128
D11	EEG	uV	n/a	128
D12 (approx: FC3)	EEG	uV	n/a	128
D13	EEG	uV	n/a	128
D14 (C1)	EEG	uV	n/a	128
D15	EEG	uV	n/a	128
D16 (approx: CP1)	EEG	uV	n/a	128
D17	EEG	uV	n/a	128
D18	EEG	uV	n/a	128
D19 (C3)	EEG	uV	n/a	128
D20	EEG	uV	n/a	128
D21 (C5)	EEG	uV	n/a	128
D22	EEG	uV	n/a	128
D23 (T7)	EEG	uV	n/a	128
D24 (TP7)	EEG	uV	n/a	128
D25	EEG	uV	n/a	128
D26 (approx CP5)	EEG	uV	n/a	128
D27	EEG	uV	n/a	128
D28 (approx: CP3)	EEG	uV	n/a	128
D29 (approx: P5)	EEG	uV	n/a	128
D30	EEG	uV	n/a	128
D31 (P7)	EEG	uV	n/a	128
D32 (approx: P9)	EEG	uV	n/a	128